Plot Title: 20332948,,,,
,,,,
Date Time,Temp (°C)  #20332948,Button Down,Button Up,End Of File
7/1/18 13:32,35.39,,,
7/1/18 13:47,38.56,,,
7/1/18 14:02,41.61,,,
7/1/18 14:17,41.95,,,
7/1/18 14:32,41.05,,,
7/1/18 14:47,39.64,,,
7/1/18 15:02,38.99,,,
7/1/18 15:17,38.86,,,
7/1/18 15:32,38.52,,,
7/1/18 15:47,38.35,,,
7/1/18 16:02,37.79,,,
7/1/18 16:17,37.28,,,
7/1/18 16:32,37.19,,,
7/1/18 16:47,37.15,,,
7/1/18 17:02,36.42,,,
7/1/18 17:17,35.95,,,
7/1/18 17:32,35.05,,,
7/1/18 17:47,34.57,,,
7/1/18 18:02,33.67,,,
7/1/18 18:17,32.77,,,
7/1/18 18:32,31.79,,,
7/1/18 18:47,30.67,,,
7/1/18 19:02,29.86,,,
7/1/18 19:17,28.95,,,
7/1/18 19:32,28.31,,,
7/1/18 19:47,27.63,,,
7/1/18 20:02,27.02,,,
7/1/18 20:17,26.17,,,
7/1/18 20:32,25.65,,,
7/1/18 20:47,24.66,,,
7/1/18 21:02,23.72,,,
7/1/18 21:17,22.99,,,
7/1/18 21:32,22.22,,,
7/1/18 21:47,21.75,,,
7/1/18 22:02,21.19,,,
7/1/18 22:17,20.68,,,
7/1/18 22:32,20.07,,,
7/1/18 22:47,19.52,,,
7/1/18 23:02,19.04,,,
7/1/18 23:17,18.44,,,
7/1/18 23:32,18.06,,,
7/1/18 23:47,17.5,,,
7/2/18 0:02,17.16,,,
7/2/18 0:17,16.81,,,
7/2/18 0:32,16.51,,,
7/2/18 0:47,16.21,,,
7/2/18 1:02,15.78,,,
7/2/18 1:17,15.44,,,
7/2/18 1:32,14.88,,,
7/2/18 1:47,14.54,,,
7/2/18 2:02,14.33,,,
7/2/18 2:17,14.15,,,
7/2/18 2:32,13.9,,,
7/2/18 2:47,13.6,,,
7/2/18 3:02,13.43,,,
7/2/18 3:17,13.3,,,
7/2/18 3:32,13.12,,,
7/2/18 3:47,12.78,,,
7/2/18 4:02,12.4,,,
7/2/18 4:17,12.14,,,
7/2/18 4:32,11.71,,,
7/2/18 4:47,11.54,,,
7/2/18 5:02,11.41,,,
7/2/18 5:17,11.19,,,
7/2/18 5:32,11.24,,,
7/2/18 5:47,11.02,,,
7/2/18 6:02,10.89,,,
7/2/18 6:17,11.02,,,
7/2/18 6:32,11.11,,,
7/2/18 6:47,12.31,,,
7/2/18 7:02,14.75,,,
7/2/18 7:17,17.24,,,
7/2/18 7:32,19.47,,,
7/2/18 7:47,21.19,,,
7/2/18 8:02,22.78,,,
7/2/18 8:17,24.24,,,
7/2/18 8:32,25.74,,,
7/2/18 8:47,27.11,,,
7/2/18 9:02,28.53,,,
7/2/18 9:17,29.6,,,
7/2/18 9:32,30.71,,,
7/2/18 9:47,31.53,,,
7/2/18 10:02,32.39,,,
7/2/18 10:17,32.94,,,
7/2/18 10:32,33.76,,,
7/2/18 10:47,34.32,,,
7/2/18 11:02,34.79,,,
7/2/18 11:17,35.6,,,
7/2/18 11:32,36.33,,,
7/2/18 11:47,37.02,,,
7/2/18 12:02,36.29,,,
7/2/18 12:17,35.65,,,
7/2/18 12:32,36.29,,,
7/2/18 12:47,36.76,,,
7/2/18 13:02,36.85,,,
7/2/18 13:17,38.09,,,
7/2/18 13:32,37.71,,,
7/2/18 13:47,37.11,,,
7/2/18 14:02,37.32,,,
7/2/18 14:17,38.18,,,
7/2/18 14:32,38.31,,,
7/2/18 14:47,37.58,,,
7/2/18 15:02,37.75,,,
7/2/18 15:17,37.84,,,
7/2/18 15:32,37.41,,,
7/2/18 15:47,36.76,,,
7/2/18 16:02,36.55,,,
7/2/18 16:17,36.89,,,
7/2/18 16:32,36.51,,,
7/2/18 16:47,36.08,,,
7/2/18 17:02,35.6,,,
7/2/18 17:17,35.18,,,
7/2/18 17:32,34.57,,,
7/2/18 17:47,34.36,,,
7/2/18 18:02,33.63,,,
7/2/18 18:17,32.9,,,
7/2/18 18:32,32.17,,,
7/2/18 18:47,31.27,,,
7/2/18 19:02,30.41,,,
7/2/18 19:17,29.56,,,
7/2/18 19:32,28.74,,,
7/2/18 19:47,28.1,,,
7/2/18 20:02,27.32,,,
7/2/18 20:17,26.55,,,
7/2/18 20:32,25.87,,,
7/2/18 20:47,25.27,,,
7/2/18 21:02,24.58,,,
7/2/18 21:17,23.76,,,
7/2/18 21:32,22.99,,,
7/2/18 21:47,22.05,,,
7/2/18 22:02,21.53,,,
7/2/18 22:17,21.06,,,
7/2/18 22:32,20.76,,,
7/2/18 22:47,20.25,,,
7/2/18 23:02,19.73,,,
7/2/18 23:17,19.3,,,
7/2/18 23:32,18.83,,,
7/2/18 23:47,18.27,,,
7/3/18 0:02,17.89,,,
7/3/18 0:17,17.46,,,
7/3/18 0:32,17.11,,,
7/3/18 0:47,16.77,,,
7/3/18 1:02,16.39,,,
7/3/18 1:17,16.21,,,
7/3/18 1:32,16,,,
7/3/18 1:47,15.57,,,
7/3/18 2:02,15.23,,,
7/3/18 2:17,14.88,,,
7/3/18 2:32,14.54,,,
7/3/18 2:47,14.28,,,
7/3/18 3:02,14.03,,,
7/3/18 3:17,13.85,,,
7/3/18 3:32,13.68,,,
7/3/18 3:47,13.6,,,
7/3/18 4:02,13.43,,,
7/3/18 4:17,13.21,,,
7/3/18 4:32,13,,,
7/3/18 4:47,12.74,,,
7/3/18 5:02,12.57,,,
7/3/18 5:17,12.48,,,
7/3/18 5:32,12.4,,,
7/3/18 5:47,12.27,,,
7/3/18 6:02,12.14,,,
7/3/18 6:17,12.22,,,
7/3/18 6:32,12.44,,,
7/3/18 6:47,13.17,,,
7/3/18 7:02,15.06,,,
7/3/18 7:17,17.41,,,
7/3/18 7:32,19.6,,,
7/3/18 7:47,21.75,,,
7/3/18 8:02,23.42,,,
7/3/18 8:17,24.66,,,
7/3/18 8:32,25.87,,,
7/3/18 8:47,27.07,,,
7/3/18 9:02,28.35,,,
7/3/18 9:17,29.21,,,
7/3/18 9:32,30.33,,,
7/3/18 9:47,31.19,,,
7/3/18 10:02,32,,,
7/3/18 10:17,32.6,,,
7/3/18 10:32,33.55,,,
7/3/18 10:47,34.06,,,
7/3/18 11:02,34.57,,,
7/3/18 11:17,35.3,,,
7/3/18 11:32,35.56,,,
7/3/18 11:47,35.65,,,
7/3/18 12:02,36.55,,,
7/3/18 12:17,37.41,,,
7/3/18 12:32,37.41,,,
7/3/18 12:47,38.05,,,
7/3/18 13:02,38.35,,,
7/3/18 13:17,38.52,,,
7/3/18 13:32,38.18,,,
7/3/18 13:47,38.09,,,
7/3/18 14:02,38.18,,,
7/3/18 14:17,38.44,,,
7/3/18 14:32,38.14,,,
7/3/18 14:47,38.01,,,
7/3/18 15:02,37.92,,,
7/3/18 15:17,38.39,,,
7/3/18 15:32,38.14,,,
7/3/18 15:47,38.26,,,
7/3/18 16:02,38.61,,,
7/3/18 16:17,38.26,,,
7/3/18 16:32,37.54,,,
7/3/18 16:47,36.81,,,
7/3/18 17:02,35.9,,,
7/3/18 17:17,35.05,,,
7/3/18 17:32,34.57,,,
7/3/18 17:47,33.85,,,
7/3/18 18:02,33.5,,,
7/3/18 18:17,32.56,,,
7/3/18 18:32,31.79,,,
7/3/18 18:47,31.27,,,
7/3/18 19:02,30.63,,,
7/3/18 19:17,29.94,,,
7/3/18 19:32,29.38,,,
7/3/18 19:47,28.83,,,
7/3/18 20:02,28.44,,,
7/3/18 20:17,28.1,,,
7/3/18 20:32,27.71,,,
7/3/18 20:47,27.32,,,
7/3/18 21:02,26.94,,,
7/3/18 21:17,26.6,,,
7/3/18 21:32,26.3,,,
7/3/18 21:47,25.87,,,
7/3/18 22:02,25.61,,,
7/3/18 22:17,25.31,,,
7/3/18 22:32,24.84,,,
7/3/18 22:47,24.36,,,
7/3/18 23:02,23.81,,,
7/3/18 23:17,23.34,,,
7/3/18 23:32,22.95,,,
7/3/18 23:47,22.52,,,
7/4/18 0:02,21.83,,,
7/4/18 0:17,21.32,,,
7/4/18 0:32,20.5,,,
7/4/18 0:47,19.86,,,
7/4/18 1:02,19.69,,,
7/4/18 1:17,19.39,,,
7/4/18 1:32,19.17,,,
7/4/18 1:47,18.96,,,
7/4/18 2:02,18.66,,,
7/4/18 2:17,18.27,,,
7/4/18 2:32,17.93,,,
7/4/18 2:47,17.72,,,
7/4/18 3:02,17.29,,,
7/4/18 3:17,17.07,,,
7/4/18 3:32,16.77,,,
7/4/18 3:47,16.56,,,
7/4/18 4:02,16.34,,,
7/4/18 4:17,16.13,,,
7/4/18 4:32,15.96,,,
7/4/18 4:47,15.7,,,
7/4/18 5:02,15.53,,,
7/4/18 5:17,15.4,,,
7/4/18 5:32,15.18,,,
7/4/18 5:47,15.1,,,
7/4/18 6:02,15.01,,,
7/4/18 6:17,14.97,,,
7/4/18 6:32,15.01,,,
7/4/18 6:47,15.27,,,
7/4/18 7:02,15.91,,,
7/4/18 7:17,17.24,,,
7/4/18 7:32,19.39,,,
7/4/18 7:47,21.53,,,
7/4/18 8:02,22.95,,,
7/4/18 8:17,24.41,,,
7/4/18 8:32,25.22,,,
7/4/18 8:47,25.57,,,
7/4/18 9:02,26.34,,,
7/4/18 9:17,27.75,,,
7/4/18 9:32,28.95,,,
7/4/18 9:47,29.73,,,
7/4/18 10:02,30.59,,,
7/4/18 10:17,31.14,,,
7/4/18 10:32,31.92,,,
7/4/18 10:47,32.56,,,
7/4/18 11:02,33.29,,,
7/4/18 11:17,33.85,,,
7/4/18 11:32,34.4,,,
7/4/18 11:47,34.96,,,
7/4/18 12:02,35.56,,,
7/4/18 12:17,36.03,,,
7/4/18 12:32,36.55,,,
7/4/18 12:47,36.38,,,
7/4/18 13:02,36.12,,,
7/4/18 13:17,35.99,,,
7/4/18 13:32,35.99,,,
7/4/18 13:47,35.69,,,
7/4/18 14:02,35.26,,,
7/4/18 14:17,34.83,,,
7/4/18 14:32,34.75,,,
7/4/18 14:47,34.75,,,
7/4/18 15:02,34.36,,,
7/4/18 15:17,34.06,,,
7/4/18 15:32,33.93,,,
7/4/18 15:47,33.72,,,
7/4/18 16:02,33.76,,,
7/4/18 16:17,33.72,,,
7/4/18 16:32,33.76,,,
7/4/18 16:47,34.53,,,
7/4/18 17:02,34.83,,,
7/4/18 17:17,35.18,,,
7/4/18 17:32,34.83,,,
7/4/18 17:47,34.62,,,
7/4/18 18:02,34.19,,,
7/4/18 18:17,33.55,,,
7/4/18 18:32,32.73,,,
7/4/18 18:47,32,,,
7/4/18 19:02,31.27,,,
7/4/18 19:17,30.67,,,
7/4/18 19:32,30.16,,,
7/4/18 19:47,29.3,,,
7/4/18 20:02,28.18,,,
7/4/18 20:17,27.58,,,
7/4/18 20:32,26.77,,,
7/4/18 20:47,26.08,,,
7/4/18 21:02,25.39,,,
7/4/18 21:17,24.71,,,
7/4/18 21:32,24.02,,,
7/4/18 21:47,23.55,,,
7/4/18 22:02,23.03,,,
7/4/18 22:17,22.56,,,
7/4/18 22:32,22.22,,,
7/4/18 22:47,22.09,,,
7/4/18 23:02,22.01,,,
7/4/18 23:17,21.83,,,
7/4/18 23:32,21.79,,,
7/4/18 23:47,21.62,,,
7/5/18 0:02,21.58,,,
7/5/18 0:17,21.49,,,
7/5/18 0:32,21.53,,,
7/5/18 0:47,21.53,,,
7/5/18 1:02,21.45,,,
7/5/18 1:17,21.49,,,
7/5/18 1:32,21.32,,,
7/5/18 1:47,21.23,,,
7/5/18 2:02,21.15,,,
7/5/18 2:17,20.98,,,
7/5/18 2:32,20.72,,,
7/5/18 2:47,20.63,,,
7/5/18 3:02,20.37,,,
7/5/18 3:17,20.03,,,
7/5/18 3:32,19.73,,,
7/5/18 3:47,19.35,,,
7/5/18 4:02,19,,,
7/5/18 4:17,18.57,,,
7/5/18 4:32,18.44,,,
7/5/18 4:47,18.27,,,
7/5/18 5:02,17.97,,,
7/5/18 5:17,17.59,,,
7/5/18 5:32,17.16,,,
7/5/18 5:47,16.9,,,
7/5/18 6:02,16.86,,,
7/5/18 6:17,17.11,,,
7/5/18 6:32,17.89,,,
7/5/18 6:47,18.7,,,
7/5/18 7:02,19.9,,,
7/5/18 7:17,21.23,,,
7/5/18 7:32,22.82,,,
7/5/18 7:47,24.41,,,
7/5/18 8:02,25.87,,,
7/5/18 8:17,27.02,,,
7/5/18 8:32,28.31,,,
7/5/18 8:47,29.73,,,
7/5/18 9:02,31.1,,,
7/5/18 9:17,32.22,,,
7/5/18 9:32,33.2,,,
7/5/18 9:47,34.06,,,
7/5/18 10:02,34.66,,,
7/5/18 10:17,35.13,,,
7/5/18 10:32,35.73,,,
7/5/18 10:47,36.25,,,
7/5/18 11:02,36.25,,,
7/5/18 11:17,36.76,,,
7/5/18 11:32,37.15,,,
7/5/18 11:47,37.84,,,
7/5/18 12:02,38.05,,,
7/5/18 12:17,38.86,,,
7/5/18 12:32,39.34,,,
7/5/18 12:47,40.07,,,
7/5/18 13:02,40.58,,,
7/5/18 13:17,40.8,,,
7/5/18 13:32,40.32,,,
7/5/18 13:47,36.38,,,
7/5/18 14:02,33.03,,,
7/5/18 14:17,31.74,,,
7/5/18 14:32,30.59,,,
7/5/18 14:47,30.03,,,
7/5/18 15:02,30.03,,,
7/5/18 15:17,30.37,,,
7/5/18 15:32,30.63,,,
7/5/18 15:47,31.4,,,
7/5/18 16:02,32.13,,,
7/5/18 16:17,32.94,,,
7/5/18 16:32,33.93,,,
7/5/18 16:47,34.49,,,
7/5/18 17:02,34.57,,,
7/5/18 17:17,34.66,,,
7/5/18 17:32,34.45,,,
7/5/18 17:47,33.85,,,
7/5/18 18:02,33.46,,,
7/5/18 18:17,32.99,,,
7/5/18 18:32,32.34,,,
7/5/18 18:47,31.66,,,
7/5/18 19:02,30.93,,,
7/5/18 19:17,30.37,,,
7/5/18 19:32,29.77,,,
7/5/18 19:47,29.21,,,
7/5/18 20:02,28.61,,,
7/5/18 20:17,28.14,,,
7/5/18 20:32,27.71,,,
7/5/18 20:47,27.37,,,
7/5/18 21:02,27.11,,,
7/5/18 21:17,26.81,,,
7/5/18 21:32,26.51,,,
7/5/18 21:47,26.34,,,
7/5/18 22:02,26.12,,,
7/5/18 22:17,25.78,,,
7/5/18 22:32,25.48,,,
7/5/18 22:47,25.22,,,
7/5/18 23:02,25.09,,,
7/5/18 23:17,24.84,,,
7/5/18 23:32,24.71,,,
