Serial Number:20394433 --,,,,
,,,,
Date Time - GMT -07:00,"Temp, (*C)",Button Down,Button Up,EOF
7/1/18 18:02,33.55, , , 
7/1/18 18:17,30.67, , , 
7/1/18 18:32,28.27, , , 
7/1/18 18:47,27.63, , , 
7/1/18 19:02,27.2, , , 
7/1/18 19:17,26.77, , , 
7/1/18 19:32,26.25, , , 
7/1/18 19:47,25.87, , , 
7/1/18 20:02,25.44, , , 
7/1/18 20:17,25.01, , , 
7/1/18 20:32,24.62, , , 
7/1/18 20:47,24.24, , , 
7/1/18 21:02,23.76, , , 
7/1/18 21:17,23.25, , , 
7/1/18 21:32,22.61, , , 
7/1/18 21:47,21.79, , , 
7/1/18 22:02,21.28, , , 
7/1/18 22:17,20.63, , , 
7/1/18 22:32,20.16, , , 
7/1/18 22:47,19.9, , , 
7/1/18 23:02,19.17, , , 
7/1/18 23:17,18.62, , , 
7/1/18 23:32,17.89, , , 
7/1/18 23:47,17.24, , , 
7/2/18 0:02,16.81, , , 
7/2/18 0:17,16.64, , , 
7/2/18 0:32,16.69, , , 
7/2/18 0:47,16.47, , , 
7/2/18 1:02,16.04, , , 
7/2/18 1:17,15.83, , , 
7/2/18 1:32,15.44, , , 
7/2/18 1:47,14.88, , , 
7/2/18 2:02,14.5, , , 
7/2/18 2:17,14.33, , , 
7/2/18 2:32,14.24, , , 
7/2/18 2:47,13.9, , , 
7/2/18 3:02,13.47, , , 
7/2/18 3:17,13.3, , , 
7/2/18 3:32,13.21, , , 
7/2/18 3:47,12.95, , , 
7/2/18 4:02,12.82, , , 
7/2/18 4:17,12.78, , , 
7/2/18 4:32,12.61, , , 
7/2/18 4:47,12.57, , , 
7/2/18 5:02,12.57, , , 
7/2/18 5:17,12.61, , , 
7/2/18 5:32,12.52, , , 
7/2/18 5:47,12.44, , , 
7/2/18 6:02,12.48, , , 
7/2/18 6:17,12.57, , , 
7/2/18 6:32,12.74, , , 
7/2/18 6:47,13.38, , , 
7/2/18 7:02,14.2, , , 
7/2/18 7:17,15.57, , , 
7/2/18 7:32,17.46, , , 
7/2/18 7:47,19.17, , , 
7/2/18 8:02,20.63, , , 
7/2/18 8:17,21.96, , , 
7/2/18 8:32,23.42, , , 
7/2/18 8:47,24.75, , , 
7/2/18 9:02,26.17, , , 
7/2/18 9:17,27.32, , , 
7/2/18 9:32,28.44, , , 
7/2/18 9:47,29.43, , , 
7/2/18 10:02,30.5, , , 
7/2/18 10:17,31.01, , , 
7/2/18 10:32,31.83, , , 
7/2/18 10:47,32.73, , , 
7/2/18 11:02,33.55, , , 
7/2/18 11:17,34.23, , , 
7/2/18 11:32,34.7, , , 
7/2/18 11:47,35.48, , , 
7/2/18 12:02,35.95, , , 
7/2/18 12:17,36.63, , , 
7/2/18 12:32,37.11, , , 
7/2/18 12:47,36.89, , , 
7/2/18 13:02,37.23, , , 
7/2/18 13:17,36.93, , , 
7/2/18 13:32,37.23, , , 
7/2/18 13:47,37.71, , , 
7/2/18 14:02,38.18, , , 
7/2/18 14:17,38.61, , , 
7/2/18 14:32,38.26, , , 
7/2/18 14:47,37.58, , , 
7/2/18 15:02,37.15, , , 
7/2/18 15:17,36.85, , , 
7/2/18 15:32,36.16, , , 
7/2/18 15:47,35.69, , , 
7/2/18 16:02,35.65, , , 
7/2/18 16:17,35.52, , , 
7/2/18 16:32,35.52, , , 
7/2/18 16:47,34.96, , , 
7/2/18 17:02,34.32, , , 
7/2/18 17:17,33.67, , , 
7/2/18 17:32,32.94, , , 
7/2/18 17:47,32.39, , , 
7/2/18 18:02,31.83, , , 
7/2/18 18:17,31.1, , , 
7/2/18 18:32,30.33, , , 
7/2/18 18:47,29.73, , , 
7/2/18 19:02,29.04, , , 
7/2/18 19:17,28.44, , , 
7/2/18 19:32,27.84, , , 
7/2/18 19:47,27.24, , , 
7/2/18 20:02,26.6, , , 
7/2/18 20:17,26.04, , , 
7/2/18 20:32,25.35, , , 
7/2/18 20:47,24.62, , , 
7/2/18 21:02,24.02, , , 
7/2/18 21:17,23.21, , , 
7/2/18 21:32,22.48, , , 
7/2/18 21:47,21.96, , , 
7/2/18 22:02,21.49, , , 
7/2/18 22:17,21.23, , , 
7/2/18 22:32,20.72, , , 
7/2/18 22:47,20.16, , , 
7/2/18 23:02,19.69, , , 
7/2/18 23:17,19.26, , , 
7/2/18 23:32,18.79, , , 
7/2/18 23:47,18.44, , , 
7/3/18 0:02,18.02, , , 
7/3/18 0:17,17.67, , , 
7/3/18 0:32,17.29, , , 
7/3/18 0:47,16.94, , , 
7/3/18 1:02,16.43, , , 
7/3/18 1:17,16.17, , , 
7/3/18 1:32,15.78, , , 
7/3/18 1:47,15.53, , , 
7/3/18 2:02,15.31, , , 
7/3/18 2:17,14.97, , , 
7/3/18 2:32,14.71, , , 
7/3/18 2:47,14.54, , , 
7/3/18 3:02,14.37, , , 
7/3/18 3:17,14.15, , , 
7/3/18 3:32,14.03, , , 
7/3/18 3:47,13.85, , , 
7/3/18 4:02,13.51, , , 
7/3/18 4:17,13.34, , , 
7/3/18 4:32,13.21, , , 
7/3/18 4:47,13.12, , , 
7/3/18 5:02,13.08, , , 
7/3/18 5:17,13.08, , , 
7/3/18 5:32,12.95, , , 
7/3/18 5:47,12.82, , , 
7/3/18 6:02,12.74, , , 
7/3/18 6:17,12.65, , , 
7/3/18 6:32,12.61, , , 
7/3/18 6:47,12.7, , , 
7/3/18 7:02,12.74, , , 
7/3/18 7:17,13.25, , , 
7/3/18 7:32,14.54, , , 
7/3/18 7:47,16.56, , , 
7/3/18 8:02,17.84, , , 
7/3/18 8:17,19.43, , , 
7/3/18 8:32,20.85, , , 
7/3/18 8:47,22.13, , , 
7/3/18 9:02,23.21, , , 
7/3/18 9:17,24.36, , , 
7/3/18 9:32,25.78, , , 
7/3/18 9:47,26.94, , , 
7/3/18 10:02,28.18, , , 
7/3/18 10:17,29.08, , , 
7/3/18 10:32,30.07, , , 
7/3/18 10:47,31.1, , , 
7/3/18 11:02,32.09, , , 
7/3/18 11:17,32.77, , , 
7/3/18 11:32,33.29, , , 
7/3/18 11:47,33.89, , , 
7/3/18 12:02,34.62, , , 
