Serial Number:20394452 --,,,,,,,,
,,,,,,,,
Date Time - GMT -07:00,"Temp, (*C)",Host Connect,Button Down,Button Up,Low Power,Safe Shutdown,Stopped,EOF
6/28/18 13:49,33.8, , , , , , , 
6/28/18 13:49, ,Logged, , , , , , 
6/28/18 13:50, , ,Logged,Logged, , , , 
6/28/18 14:04,37.41, , , , , , , 
6/28/18 14:19,40.45, , , , , , , 
6/28/18 14:34,42.13, , , , , , , 
6/28/18 14:49,42.21, , , , , , , 
6/28/18 15:04,42.04, , , , , , , 
6/28/18 15:19,41.52, , , , , , , 
6/28/18 15:34,41.52, , , , , , , 
6/28/18 15:49,40.97, , , , , , , 
6/28/18 16:04,40.15, , , , , , , 
6/28/18 16:19,40.24, , , , , , , 
6/28/18 16:34,38.91, , , , , , , 
6/28/18 16:49,38.52, , , , , , , 
6/28/18 17:04,38.39, , , , , , , 
6/28/18 17:19,38.35, , , , , , , 
6/28/18 17:34,37.92, , , , , , , 
6/28/18 17:49,36.42, , , , , , , 
6/28/18 18:04,34.79, , , , , , , 
6/28/18 18:19,32.13, , , , , , , 
6/28/18 18:34,30.5, , , , , , , 
6/28/18 18:49,29.47, , , , , , , 
6/28/18 19:04,28.87, , , , , , , 
6/28/18 19:19,28.35, , , , , , , 
6/28/18 19:34,27.84, , , , , , , 
6/28/18 19:49,27.37, , , , , , , 
6/28/18 20:04,26.9, , , , , , , 
6/28/18 20:19,26.42, , , , , , , 
6/28/18 20:34,25.65, , , , , , , 
6/28/18 20:49,25.35, , , , , , , 
6/28/18 21:04,25.39, , , , , , , 
6/28/18 21:19,24.66, , , , , , , 
6/28/18 21:34,24.02, , , , , , , 
6/28/18 21:49,23.98, , , , , , , 
6/28/18 22:04,23.85, , , , , , , 
6/28/18 22:19,23.46, , , , , , , 
6/28/18 22:34,23.12, , , , , , , 
6/28/18 22:49,22.78, , , , , , , 
6/28/18 23:04,22.73, , , , , , , 
6/28/18 23:19,22.69, , , , , , , 
6/28/18 23:34,22.43, , , , , , , 
6/28/18 23:49,22.09, , , , , , , 
6/29/18 0:04,21.88, , , , , , , 
6/29/18 0:19,21.58, , , , , , , 
6/29/18 0:34,21.49, , , , , , , 
6/29/18 0:49,21.32, , , , , , , 
6/29/18 1:04,21.02, , , , , , , 
6/29/18 1:19,20.63, , , , , , , 
6/29/18 1:34,20.42, , , , , , , 
6/29/18 1:49,20.37, , , , , , , 
6/29/18 2:04,20.29, , , , , , , 
6/29/18 2:19,20.16, , , , , , , 
6/29/18 2:34,19.99, , , , , , , 
6/29/18 2:49,19.69, , , , , , , 
6/29/18 3:04,19.35, , , , , , , 
6/29/18 3:19,19.26, , , , , , , 
6/29/18 3:34,19.26, , , , , , , 
6/29/18 3:49,19.09, , , , , , , 
6/29/18 4:04,18.87, , , , , , , 
6/29/18 4:19,18.87, , , , , , , 
6/29/18 4:34,18.53, , , , , , , 
6/29/18 4:49,18.4, , , , , , , 
6/29/18 5:04,18.27, , , , , , , 
6/29/18 5:19,18.27, , , , , , , 
6/29/18 5:34,18.19, , , , , , , 
6/29/18 5:49,17.93, , , , , , , 
6/29/18 6:04,18.14, , , , , , , 
6/29/18 6:19,18.7, , , , , , , 
6/29/18 6:34,19.13, , , , , , , 
6/29/18 6:49,19.43, , , , , , , 
6/29/18 7:04,22.52, , , , , , , 
6/29/18 7:19,24.62, , , , , , , 
6/29/18 7:34,26.12, , , , , , , 
6/29/18 7:49,27.41, , , , , , , 
6/29/18 8:04,28.65, , , , , , , 
6/29/18 8:19,29.47, , , , , , , 
6/29/18 8:34,30.03, , , , , , , 
6/29/18 8:49,30.63, , , , , , , 
6/29/18 9:04,31.49, , , , , , , 
6/29/18 9:19,32.43, , , , , , , 
6/29/18 9:34,33.89, , , , , , , 
6/29/18 9:49,34.1, , , , , , , 
6/29/18 10:04,35.05, , , , , , , 
6/29/18 10:19,35.35, , , , , , , 
6/29/18 10:34,35.95, , , , , , , 
6/29/18 10:49,36.59, , , , , , , 
6/29/18 11:04,37.23, , , , , , , 
6/29/18 11:19,37.75, , , , , , , 
6/29/18 11:34,37.88, , , , , , , 
6/29/18 11:49,38.26, , , , , , , 
6/29/18 12:04,38.78, , , , , , , 
6/29/18 12:19,39.59, , , , , , , 
6/29/18 12:34,39.38, , , , , , , 
6/29/18 12:49,39.51, , , , , , , 
6/29/18 13:04,39.94, , , , , , , 
6/29/18 13:19,40.11, , , , , , , 
6/29/18 13:34,40.28, , , , , , , 
6/29/18 13:49,39.94, , , , , , , 
6/29/18 14:04,39.68, , , , , , , 
6/29/18 14:19,39.98, , , , , , , 
6/29/18 14:34,39.64, , , , , , , 
6/29/18 14:49,39.59, , , , , , , 
6/29/18 15:04,39.68, , , , , , , 
6/29/18 15:19,38.82, , , , , , , 
6/29/18 15:34,38.39, , , , , , , 
6/29/18 15:49,38.05, , , , , , , 
6/29/18 16:04,37.62, , , , , , , 
6/29/18 16:19,37.11, , , , , , , 
6/29/18 16:34,37.23, , , , , , , 
6/29/18 16:49,36.42, , , , , , , 
6/29/18 17:04,36.68, , , , , , , 
6/29/18 17:19,36.16, , , , , , , 
6/29/18 17:34,35.52, , , , , , , 
6/29/18 17:49,34.83, , , , , , , 
6/29/18 18:04,31.44, , , , , , , 
6/29/18 18:19,29.77, , , , , , , 
6/29/18 18:34,28.1, , , , , , , 
6/29/18 18:49,27.2, , , , , , , 
6/29/18 19:04,27.15, , , , , , , 
6/29/18 19:19,26.85, , , , , , , 
