Serial Number:20394457 --,,,,,
,,,,,
Date Time - GMT -07:00,"Temp, (*C)",Button Down,Button Up,Host Connect,EOF
6/30/18 14:11,32.64, , , , 
6/30/18 14:26,34.02, , , , 
6/30/18 14:41,36.42, , , , 
6/30/18 14:56,37.54, , , , 
6/30/18 15:11,36.98, , , , 
6/30/18 15:26,36.16, , , , 
6/30/18 15:41,35.82, , , , 
6/30/18 15:56,35.65, , , , 
6/30/18 16:11,35.3, , , , 
6/30/18 16:26,34.96, , , , 
6/30/18 16:41,34.96, , , , 
6/30/18 16:56,34.88, , , , 
6/30/18 17:11,34.15, , , , 
6/30/18 17:26,33.59, , , , 
6/30/18 17:41,33.42, , , , 
6/30/18 17:56,32.73, , , , 
6/30/18 18:11,32.09, , , , 
6/30/18 18:26,31.53, , , , 
6/30/18 18:41,30.76, , , , 
6/30/18 18:56,29.94, , , , 
6/30/18 19:11,29.13, , , , 
6/30/18 19:26,28.31, , , , 
6/30/18 19:41,27.63, , , , 
6/30/18 19:56,26.98, , , , 
6/30/18 20:11,26.3, , , , 
6/30/18 20:26,25.74, , , , 
6/30/18 20:41,25.14, , , , 
6/30/18 20:56,24.54, , , , 
6/30/18 21:11,24.19, , , , 
6/30/18 21:26,24.02, , , , 
6/30/18 21:41,23.64, , , , 
6/30/18 21:56,23.46, , , , 
6/30/18 22:11,23.12, , , , 
6/30/18 22:26,22.73, , , , 
6/30/18 22:41,22.35, , , , 
6/30/18 22:56,22.18, , , , 
6/30/18 23:11,22.05, , , , 
6/30/18 23:26,21.92, , , , 
6/30/18 23:41,21.66, , , , 
6/30/18 23:56,21.53, , , , 
7/1/18 0:11,21.23, , , , 
7/1/18 0:26,20.93, , , , 
7/1/18 0:41,20.68, , , , 
7/1/18 0:56,20.59, , , , 
7/1/18 1:11,20.55, , , , 
7/1/18 1:26,20.37, , , , 
7/1/18 1:41,20.42, , , , 
7/1/18 1:56,20.33, , , , 
7/1/18 2:11,20.25, , , , 
7/1/18 2:26,20.03, , , , 
7/1/18 2:41,19.82, , , , 
7/1/18 2:56,19.65, , , , 
7/1/18 3:11,19.47, , , , 
7/1/18 3:26,19.43, , , , 
7/1/18 3:41,19.3, , , , 
7/1/18 3:56,19.26, , , , 
7/1/18 4:11,19.09, , , , 
7/1/18 4:26,18.96, , , , 
7/1/18 4:41,18.87, , , , 
7/1/18 4:56,18.83, , , , 
7/1/18 5:11,18.7, , , , 
7/1/18 5:26,18.57, , , , 
7/1/18 5:41,18.53, , , , 
7/1/18 5:56,18.66, , , , 
7/1/18 6:11,19.52, , , , 
7/1/18 6:26,20.59, , , , 
7/1/18 6:41,21.79, , , , 
7/1/18 6:56,22.91, , , , 
7/1/18 7:11,23.81, , , , 
7/1/18 7:26,24.75, , , , 
7/1/18 7:41,25.69, , , , 
7/1/18 7:56,26.72, , , , 
7/1/18 8:11,27.8, , , , 
7/1/18 8:26,28.18, , , , 
7/1/18 8:41,28.91, , , , 
7/1/18 8:56,29.34, , , , 
7/1/18 9:11,29.43, , , , 
7/1/18 9:26,30.07, , , , 
7/1/18 9:41,30.41, , , , 
7/1/18 9:56,30.8, , , , 
7/1/18 10:11,31.36, , , , 
7/1/18 10:26,31.87, , , , 
7/1/18 10:41,32.09, , , , 
7/1/18 10:56,32.56, , , , 
7/1/18 11:11,33.07, , , , 
7/1/18 11:26,33.29, , , , 
7/1/18 11:41,33.72, , , , 
7/1/18 11:56,33.97, , , , 
7/1/18 12:11,34.15, , , , 
7/1/18 12:26,34.53, , , , 
7/1/18 12:41,34.79, , , , 
7/1/18 12:56,35.09, , , , 
7/1/18 13:11,35.3, , , , 
7/1/18 13:26,35.82, , , , 
7/1/18 13:41,36.03, , , , 
7/1/18 13:56,36.38, , , , 
7/1/18 14:11,36.59, , , , 
7/1/18 14:26,36.63, , , , 
7/1/18 14:41,36.72, , , , 
7/1/18 14:56,36.72, , , , 
7/1/18 15:11,36.81, , , , 
7/1/18 15:26,36.68, , , , 
7/1/18 15:41,36.72, , , , 
7/1/18 15:56,36.46, , , , 
7/1/18 16:11,36.29, , , , 
7/1/18 16:26,36.21, , , , 
7/1/18 16:41,35.99, , , , 
7/1/18 16:56,35.9, , , , 
7/1/18 17:11,35.65, , , , 
7/1/18 17:26,35.09, , , , 
7/1/18 17:41,34.53, , , , 
7/1/18 17:56,33.72, , , , 
7/1/18 18:11,33.37, , , , 
7/1/18 18:26,32.69, , , , 
7/1/18 18:41,31.96, , , , 
7/1/18 18:56,31.14, , , , 
7/1/18 19:11,30.33, , , , 
7/1/18 19:26,29.56, , , , 
7/1/18 19:41,28.74, , , , 
7/1/18 19:56,28.05, , , , 
7/1/18 20:11,27.45, , , , 
7/1/18 20:26,26.81, , , , 
7/1/18 20:41,26.25, , , , 
7/1/18 20:56,25.74, , , , 
7/1/18 21:11,25.31, , , , 
7/1/18 21:26,24.97, , , , 
7/1/18 21:41,24.54, , , , 
7/1/18 21:56,24.19, , , , 
7/1/18 22:11,23.89, , , , 
7/1/18 22:26,23.55, , , , 
7/1/18 22:41,23.16, , , , 
7/1/18 22:56,22.99, , , , 
7/1/18 23:11,22.78, , , , 
7/1/18 23:26,22.69, , , , 
7/1/18 23:41,22.65, , , , 
7/1/18 23:56,22.56, , , , 
7/2/18 0:11,22.35, , , , 
7/2/18 0:26,21.92, , , , 
7/2/18 0:41,21.83, , , , 
7/2/18 0:56,21.7, , , , 
7/2/18 1:11,21.58, , , , 
7/2/18 1:26,21.45, , , , 
7/2/18 1:41,21.53, , , , 
7/2/18 1:56,21.23, , , , 
7/2/18 2:11,21.02, , , , 
7/2/18 2:26,21.02, , , , 
7/2/18 2:41,20.55, , , , 
7/2/18 2:56,20.2, , , , 
7/2/18 3:11,19.73, , , , 
7/2/18 3:26,19, , , , 
7/2/18 3:41,18.62, , , , 
7/2/18 3:56,18.57, , , , 
7/2/18 4:11,18.14, , , , 
7/2/18 4:26,17.67, , , , 
7/2/18 4:41,17.37, , , , 
7/2/18 4:56,17.16, , , , 
7/2/18 5:11,16.94, , , , 
7/2/18 5:26,17.03, , , , 
7/2/18 5:41,16.99, , , , 
7/2/18 5:56,17.03, , , , 
7/2/18 6:11,18.1, , , , 
7/2/18 6:26,19.73, , , , 
7/2/18 6:41,20.98, , , , 
7/2/18 6:56,22.52, , , , 
7/2/18 7:11,23.94, , , , 
7/2/18 7:26,25.18, , , , 
7/2/18 7:41,26.38, , , , 
7/2/18 7:56,27.71, , , , 
7/2/18 8:11,29, , , , 
7/2/18 8:26,29.86, , , , 
7/2/18 8:41,30.33, , , , 
7/2/18 8:56,30.67, , , , 
7/2/18 9:11,31.19, , , , 
7/2/18 9:26,31.53, , , , 
7/2/18 9:41,32, , , , 
7/2/18 9:56,32.64, , , , 
7/2/18 10:11,33.33, , , , 
7/2/18 10:26,33.85, , , , 
7/2/18 10:41,34.36, , , , 
7/2/18 10:56,34.83, , , , 
7/2/18 11:11,35.05, , , , 
7/2/18 11:26,35.39, , , , 
7/2/18 11:41,35.69, , , , 
7/2/18 11:56,36.16, , , , 
7/2/18 12:11,35.3, , , , 
7/2/18 12:26,35.86, , , , 
7/2/18 12:41,36.46, , , , 
