Serial Number:20523470 --,,,,,
,,,,,
Date Time - GMT -07:00,"Temp, (*C)",Host Connect,Button Down,Button Up,EOF
6/27/19 16:20,38.22, , , , 
6/27/19 16:21, ,Logged, , , 
6/27/19 16:35,39.85, , , , 
6/27/19 16:50,39.34, , , , 
6/27/19 17:05,39.08, , , , 
6/27/19 17:20,38.82, , , , 
6/27/19 17:35,38.61, , , , 
6/27/19 17:50,38.48, , , , 
6/27/19 18:05,37.23, , , , 
6/27/19 18:20,36.98, , , , 
6/27/19 18:35,35.73, , , , 
6/27/19 18:50,33.97, , , , 
6/27/19 19:05,32.82, , , , 
6/27/19 19:20,32.17, , , , 
6/27/19 19:35,31.7, , , , 
6/27/19 19:50,30.93, , , , 
6/27/19 20:05,29.81, , , , 
6/27/19 20:20,28.7, , , , 
6/27/19 20:35,27.8, , , , 
6/27/19 20:50,26.98, , , , 
6/27/19 21:05,25.91, , , , 
6/27/19 21:20,25.65, , , , 
6/27/19 21:35,25.14, , , , 
6/27/19 21:50,24.36, , , , 
6/27/19 22:05,23.34, , , , 
6/27/19 22:20,23.08, , , , 
6/27/19 22:35,22.22, , , , 
6/27/19 22:50,22.05, , , , 
6/27/19 23:05,21.58, , , , 
6/27/19 23:20,21.23, , , , 
6/27/19 23:35,20.8, , , , 
6/27/19 23:50,20.68, , , , 
6/28/19 0:05,20.42, , , , 
6/28/19 0:20,19.6, , , , 
6/28/19 0:35,19.09, , , , 
6/28/19 0:50,18.87, , , , 
6/28/19 1:05,18.57, , , , 
6/28/19 1:20,18.27, , , , 
6/28/19 1:35,17.93, , , , 
6/28/19 1:50,17.54, , , , 
6/28/19 2:05,17.41, , , , 
6/28/19 2:20,16.94, , , , 
6/28/19 2:35,16.56, , , , 
6/28/19 2:50,16.26, , , , 
6/28/19 3:05,16.04, , , , 
6/28/19 3:20,15.74, , , , 
6/28/19 3:35,15.7, , , , 
6/28/19 3:50,15.7, , , , 
6/28/19 4:05,15.83, , , , 
6/28/19 4:20,16.04, , , , 
6/28/19 4:35,16.64, , , , 
6/28/19 4:50,16.81, , , , 
6/28/19 5:05,17.07, , , , 
6/28/19 5:20,17.63, , , , 
6/28/19 5:35,17.63, , , , 
6/28/19 5:50,18.66, , , , 
6/28/19 6:05,19.35, , , , 
6/28/19 6:20,20.12, , , , 
6/28/19 6:35,21.32, , , , 
6/28/19 6:50,21.92, , , , 
6/28/19 7:05,22.73, , , , 
6/28/19 7:20,23.25, , , , 
6/28/19 7:35,25.05, , , , 
6/28/19 7:50,25.57, , , , 
6/28/19 8:05,25.61, , , , 
6/28/19 8:20,26.3, , , , 
6/28/19 8:35,27.2, , , , 
6/28/19 8:50,27.54, , , , 
6/28/19 9:05,27.71, , , , 
6/28/19 9:20,28.01, , , , 
6/28/19 9:35,28.4, , , , 
6/28/19 9:50,28.87, , , , 
6/28/19 10:05,30.03, , , , 
6/28/19 10:20,30.71, , , , 
6/28/19 10:35,30.97, , , , 
6/28/19 10:50,30.63, , , , 
6/28/19 11:05,30.93, , , , 
6/28/19 11:20,31.83, , , , 
6/28/19 11:35,32.17, , , , 
6/28/19 11:50,32.86, , , , 
6/28/19 12:05,33.97, , , , 
6/28/19 12:20,34.32, , , , 
6/28/19 12:35,34.83, , , , 
6/28/19 12:50,34.75, , , , 
6/28/19 13:05,34.66, , , , 
6/28/19 13:20,34.49, , , , 
6/28/19 13:35,35.86, , , , 
6/28/19 13:50,35.6, , , , 
6/28/19 14:05,36.03, , , , 
6/28/19 14:20,36.33, , , , 
6/28/19 14:35,36.98, , , , 
6/28/19 14:50,37.71, , , , 
6/28/19 15:05,38.05, , , , 
6/28/19 15:20,37.96, , , , 
6/28/19 15:35,37.79, , , , 
6/28/19 15:50,37.45, , , , 
6/28/19 16:05,37.66, , , , 
6/28/19 16:20,37.96, , , , 
6/28/19 16:35,37.58, , , , 
6/28/19 16:50,37.06, , , , 
6/28/19 17:05,36.68, , , , 
6/28/19 17:20,35.73, , , , 
6/28/19 17:35,35.78, , , , 
6/28/19 17:50,35.56, , , , 
6/28/19 18:05,35.6, , , , 
6/28/19 18:20,35.43, , , , 
6/28/19 18:35,34.66, , , , 
6/28/19 18:50,33.8, , , , 
6/28/19 19:05,33.12, , , , 
6/28/19 19:20,32.52, , , , 
6/28/19 19:35,32.04, , , , 
6/28/19 19:50,31.83, , , , 
6/28/19 20:05,30.97, , , , 
6/28/19 20:20,30.28, , , , 
6/28/19 20:35,29.81, , , , 
6/28/19 20:50,29.26, , , , 
6/28/19 21:05,28.83, , , , 
6/28/19 21:20,27.93, , , , 
6/28/19 21:35,27.37, , , , 
6/28/19 21:50,27.15, , , , 
6/28/19 22:05,26.42, , , , 
6/28/19 22:20,25.95, , , , 
6/28/19 22:35,25.61, , , , 
6/28/19 22:50,25.22, , , , 
6/28/19 23:05,24.45, , , , 
6/28/19 23:20,23.89, , , , 
6/28/19 23:35,23.72, , , , 
6/28/19 23:50,23.38, , , , 
6/29/19 0:05,23.12, , , , 
6/29/19 0:20,22.86, , , , 
6/29/19 0:35,22.65, , , , 
6/29/19 0:50,23.12, , , , 
6/29/19 1:05,23.25, , , , 
6/29/19 1:20,23.16, , , , 
6/29/19 1:35,22.95, , , , 
6/29/19 1:50,22.78, , , , 
6/29/19 2:05,22.56, , , , 
6/29/19 2:20,22.26, , , , 
6/29/19 2:35,22.48, , , , 
6/29/19 2:50,22.65, , , , 
6/29/19 3:05,22.43, , , , 
6/29/19 3:20,21.83, , , , 
6/29/19 3:35,21.58, , , , 
6/29/19 3:50,22.18, , , , 
6/29/19 4:05,22.09, , , , 
6/29/19 4:20,21.62, , , , 
6/29/19 4:35,20.76, , , , 
6/29/19 4:50,20.37, , , , 
6/29/19 5:05,19.86, , , , 
6/29/19 5:20,19.52, , , , 
6/29/19 5:35,19.09, , , , 
6/29/19 5:50,18.87, , , , 
6/29/19 6:05,19.04, , , , 
6/29/19 6:20,19.13, , , , 
6/29/19 6:35,19.26, , , , 
6/29/19 6:50,19.52, , , , 
6/29/19 7:05,20.46, , , , 
6/29/19 7:20,21.92, , , , 
6/29/19 7:35,23.38, , , , 
6/29/19 7:50,24.92, , , , 
6/29/19 8:05,26.3, , , , 
6/29/19 8:20,27.8, , , , 
6/29/19 8:35,29.47, , , , 
6/29/19 8:50,30.93, , , , 
6/29/19 9:05,31.19, , , , 
6/29/19 9:20,31.23, , , , 
6/29/19 9:35,32.13, , , , 
6/29/19 9:50,32.6, , , , 
6/29/19 10:05,34.53, , , , 
6/29/19 10:20,36.08, , , , 
6/29/19 10:35,35.95, , , , 
6/29/19 10:50,36.63, , , , 
6/29/19 11:05,37.96, , , , 
6/29/19 11:20,39.17, , , , 
6/29/19 11:35,39.29, , , , 
6/29/19 11:50,40.11, , , , 
6/29/19 12:05,40.97, , , , 
6/29/19 12:20,41.74, , , , 
6/29/19 12:35,40.45, , , , 
6/29/19 12:50,39.21, , , , 
6/29/19 13:05,37.49, , , , 
6/29/19 13:20,36.51, , , , 
6/29/19 13:35,37.58, , , , 
6/29/19 13:50,38.82, , , , 
6/29/19 14:05,39.89, , , , 
6/29/19 14:20,40.62, , , , 
6/29/19 14:35,40.41, , , , 
6/29/19 14:50,38.69, , , , 
6/29/19 15:05,37.54, , , , 
6/29/19 15:20,37.02, , , , 
6/29/19 15:35,36.38, , , , 
6/29/19 15:50,36.25, , , , 
6/29/19 16:05,36.03, , , , 
6/29/19 16:20,36.63, , , , 
6/29/19 16:35,37.41, , , , 
6/29/19 16:50,36.76, , , , 
6/29/19 17:05,36.81, , , , 
6/29/19 17:20,35.9, , , , 
6/29/19 17:35,35.05, , , , 
6/29/19 17:50,34.1, , , , 
6/29/19 18:05,33.67, , , , 
6/29/19 18:20,33.42, , , , 
6/29/19 18:35,33.12, , , , 
6/29/19 18:50,32.64, , , , 
6/29/19 19:05,32.3, , , , 
6/29/19 19:20,32.22, , , , 
6/29/19 19:35,31.23, , , , 
6/29/19 19:50,28.48, , , , 
6/29/19 20:05,25.99, , , , 
6/29/19 20:20,24.66, , , , 
6/29/19 20:35,23.64, , , , 
6/29/19 20:50,23.08, , , , 
6/29/19 21:05,22.78, , , , 
6/29/19 21:20,22.31, , , , 
6/29/19 21:35,22.01, , , , 
6/29/19 21:50,22.05, , , , 
6/29/19 22:05,22.05, , , , 
6/29/19 22:20,22.13, , , , 
6/29/19 22:35,22.05, , , , 
6/29/19 22:50,21.96, , , , 
6/29/19 23:05,21.83, , , , 
6/29/19 23:20,21.58, , , , 
6/29/19 23:35,21.19, , , , 
6/29/19 23:50,21.1, , , , 
6/30/19 0:05,21.1, , , , 
6/30/19 0:20,20.98, , , , 
6/30/19 0:35,20.85, , , , 
6/30/19 0:50,20.98, , , , 
6/30/19 1:05,20.89, , , , 
6/30/19 1:20,20.98, , , , 
6/30/19 1:35,20.85, , , , 
6/30/19 1:50,20.63, , , , 
6/30/19 2:05,20.42, , , , 
6/30/19 2:20,20.55, , , , 
6/30/19 2:35,20.68, , , , 
6/30/19 2:50,21.02, , , , 
6/30/19 3:05,21.49, , , , 
6/30/19 3:20,21.88, , , , 
6/30/19 3:35,21.75, , , , 
6/30/19 3:50,21.45, , , , 
6/30/19 4:05,21.19, , , , 
6/30/19 4:20,21.1, , , , 
6/30/19 4:35,21.02, , , , 
6/30/19 4:50,20.93, , , , 
6/30/19 5:05,20.72, , , , 
6/30/19 5:20,20.46, , , , 
6/30/19 5:35,20.25, , , , 
6/30/19 5:50,20.2, , , , 
6/30/19 6:05,20.37, , , , 
6/30/19 6:20,20.68, , , , 
6/30/19 6:35,21.1, , , , 
